"Percentile","Pitcher_xwOBA","Batter_xwOBA"
1,0.341322,0.310868
2,0.352324,0.320096
3,0.356336,0.328488
4,0.361508,0.333688
5,0.36512,0.34012
6,0.367918,0.344088
7,0.369528,0.346768
8,0.370764,0.349928
9,0.372418,0.355132
10,0.37481,0.3579
11,0.376821,0.360212
12,0.379408,0.365492
13,0.382126,0.369048
14,0.384456,0.371072
15,0.38613,0.37386
16,0.38818,0.375552
17,0.389817,0.376916
18,0.39089,0.379196
19,0.393038,0.382612
20,0.39554,0.3845
21,0.3965,0.386508
22,0.397088,0.388428
23,0.399023,0.390104
24,0.400272,0.3912
25,0.402025,0.3929
26,0.40366,0.394424
27,0.405627,0.395496
28,0.406528,0.396516
29,0.408529,0.3977
30,0.40893,0.40014
31,0.409955,0.4011
32,0.4112,0.4027
33,0.412132,0.4038
34,0.413334,0.406632
35,0.41511,0.40868
36,0.416444,0.411092
37,0.417074,0.4121
38,0.417776,0.415372
39,0.418878,0.416736
40,0.42004,0.41762
41,0.421305,0.420052
42,0.422242,0.421816
43,0.423186,0.423232
44,0.423632,0.42616
45,0.424695,0.429
46,0.425738,0.431216
47,0.427094,0.433984
48,0.429348,0.436912
49,0.43,0.439784
50,0.43055,0.4418
51,0.431206,0.443996
52,0.432452,0.4464
53,0.433965,0.449044
54,0.4356,0.450776
55,0.437505,0.45238
56,0.439468,0.454332
57,0.441257,0.4557
58,0.442248,0.458392
59,0.44339,0.46
60,0.44416,0.463
61,0.444561,0.464028
62,0.445462,0.465976
63,0.446615,0.468312
64,0.448184,0.471172
65,0.448965,0.4739
66,0.449966,0.47572
67,0.4512,0.479332
68,0.452804,0.481832
69,0.453807,0.483656
70,0.45484,0.48736
71,0.456171,0.490044
72,0.4578,0.49434
73,0.4585,0.497184
74,0.459648,0.49998
75,0.460675,0.5045
76,0.4617,0.507592
77,0.4619,0.5108
78,0.462456,0.51428
79,0.46519,0.517948
80,0.46626,0.5219
81,0.467481,0.523808
82,0.468782,0.528
83,0.470281,0.533684
84,0.471588,0.539596
85,0.474585,0.54632
86,0.47643,0.553248
87,0.478387,0.559476
88,0.4799,0.561824
89,0.483035,0.566324
90,0.4856,0.57294
91,0.487746,0.579496
92,0.492224,0.584324
93,0.493572,0.590844
94,0.495458,0.600668
95,0.4965,0.61188
96,0.499828,0.625348
97,0.503179,0.642448
98,0.508546,0.658804
99,0.520196,0.682944
100,0.5562,0.7542
0,0.312,0.3003
